Clock Time (s),Elapsed Time (s),ax,ay,az,gx,gy,gz,mr,mtheta,mphi,
71763.1,0.0,-0.27,-0.86,0.40,-0.04,0.03,0.03,46.72205688965331,0.8795565625360771,1.672852471107718,
71763.2,0.09999999999126885,-0.26,-0.85,0.41,0.02,-0.07,0.00,46.44598045041142,0.889921739576335,1.6953484526636216,
71763.3,0.19999999999708962,-0.26,-0.85,0.41,0.01,-0.07,-0.01,45.55907922686761,0.8767367835256417,1.6827531297619793,
71763.4,0.29999999998835847,-0.29,-0.87,0.39,0.01,-0.06,-0.01,46.29247239022777,0.8963619553966342,1.709491987895545,
71763.5,0.39999999999417923,-0.27,-0.86,0.40,-0.00,-0.04,-0.01,45.148131744292584,0.8802674066426278,1.7096755258614613,
71763.6,0.5,-0.26,-0.86,0.41,-0.11,0.25,0.06,45.53643156858033,0.8711601305813099,1.618028829281105,
71763.7,0.5999999999912689,-0.26,-0.86,0.41,-0.26,0.24,0.10,44.52437085462298,0.8462092896466157,1.6301244949731302,
71763.8,0.6999999999970896,-0.27,-0.86,0.41,-0.01,-0.03,-0.01,44.98910423647041,0.8782132816069709,1.709720742996854,
71763.9,0.7999999999883585,-0.26,-0.86,0.41,-0.05,0.03,0.02,44.18209705299195,0.825120847249489,1.5379717097091234,
71764.1,1.0,-0.36,-0.88,0.18,-0.43,1.11,-0.42,45.90099998910699,0.9080285874059677,1.4037938143741826,
71764.2,1.0999999999912689,-0.21,-0.93,0.43,0.07,1.93,-0.54,44.680346910022976,0.8562409810646909,1.47013480662251,
71764.3,1.1999999999970896,-0.35,-0.95,-0.01,0.08,1.92,-0.58,43.35424546685134,0.9877837017903643,1.292504517242507,
71764.4,1.2999999999883585,-0.39,-0.97,0.03,0.04,0.17,0.15,44.507180319584386,0.8678764412594394,1.4715483365355286,
71764.5,1.3999999999941792,-0.50,-0.99,0.03,0.04,-0.33,-0.21,44.347609856676605,0.9616148819899333,1.275881578627473,
71764.6,1.5,-0.21,-0.92,0.77,0.06,1.77,-0.55,45.24907070868969,0.8670173264460589,1.4226274298766324,
71764.7,1.5999999999912689,-0.16,-0.94,0.58,0.02,1.61,-0.52,44.985843328762876,0.873638561108882,1.416581918354524,
71764.8,1.6999999999970896,-0.41,-0.88,0.14,-0.15,0.59,-0.18,44.31233688263349,0.8908344335834464,1.4007245494412799,
71764.9,1.7999999999883585,-0.38,-0.88,0.18,-0.13,0.54,-0.16,44.60224658018921,1.0087025585814573,1.3671598837203112,
71765.1,2.0,-0.29,-0.94,0.17,0.06,0.04,-0.02,43.86348025407925,1.0332173869979544,1.3571533220254055,
71765.2,2.099999999991269,-0.29,-0.94,0.17,0.05,0.01,0.01,43.448665111830536,1.0095423260783316,1.387955509051179,
71765.3,2.1999999999970896,-0.29,-0.94,0.17,0.04,0.01,0.02,43.81641359125596,1.0201312017081097,1.3797531651713237,
71765.4,2.2999999999883585,-0.28,-0.93,0.17,0.04,-0.01,0.04,43.79386258370002,1.0008562747827694,1.3796535747902703,
71765.5,2.3999999999941792,-0.28,-0.94,0.17,0.08,0.09,-0.05,45.208992468313205,0.9940452688086738,1.408838109771618,
71765.6,2.5,-0.28,-0.94,0.18,0.07,0.08,-0.04,44.57447363682492,0.9613025326431355,1.394219081207161,
71765.7,2.599999999991269,-0.28,-0.93,0.18,0.07,0.07,-0.03,44.166508804749334,0.9632410006315326,1.3852037550615734,
71765.8,2.6999999999970896,-0.28,-0.93,0.18,0.07,0.06,-0.03,45.166391266073056,1.0151034214075052,1.3561619297612795,
71765.9,2.7999999999883585,-0.28,-0.93,0.18,0.06,0.05,-0.02,45.06889281977094,1.0214812359674694,1.3481892499928259,
71766.1,3.0,-0.26,-0.92,0.18,0.06,0.06,-0.02,45.65143371242572,0.9618147685370181,1.4130836444663963,
71766.2,3.099999999991269,-0.26,-0.92,0.17,0.02,0.06,-0.02,44.02447728253,0.9514007659927869,1.4258239580696281,
71766.3,3.1999999999970896,-0.25,-0.92,0.18,-0.04,0.08,-0.03,43.88289644041287,0.9295656246277721,1.3895532183394064,
71766.4,3.2999999999883585,-0.25,-0.91,0.18,-0.05,0.06,-0.07,44.57223687453884,0.9454650995793416,1.3996770617813235,
71766.5,3.3999999999941792,-0.26,-0.92,0.18,0.08,-0.02,0.06,44.225931307322405,0.9238101126546082,1.4042881188509508,
71766.6,3.5,-0.25,-0.92,0.18,0.08,-0.01,0.06,44.683806910333864,0.9443899014623366,1.3946556642345365,
71766.7,3.599999999991269,-0.28,-0.93,0.20,0.09,0.01,0.05,44.05234159497086,0.965280811760181,1.397867690954774,
71766.8,3.6999999999970896,-0.26,-0.93,0.18,0.07,0.01,0.02,43.648612807281744,0.9650307338172783,1.390432872097441,
71766.9,3.7999999999883585,-0.26,-0.92,0.17,0.06,0.05,-0.01,44.920817000584485,0.9532091857433016,1.4399716988972266,
71767.1,4.0,-0.26,-0.92,0.19,-0.02,0.06,-0.12,44.36752528595662,1.012051182169848,1.3860543430801446,
71767.2,4.099999999991269,-0.26,-0.92,0.19,0.03,0.12,-0.06,44.52704122216072,0.9775342824836841,1.3860383946176436,
71767.3,4.19999999999709,-0.26,-0.92,0.20,-0.04,0.05,-0.06,45.31533073916597,0.9804261264250993,1.3825534141517284,
71767.4,4.2999999999883585,-0.26,-0.93,0.21,-0.05,0.03,-0.08,44.55692426548314,0.9622665109162517,1.3680955832486927,
71767.5,4.399999999994179,-0.27,-0.93,0.20,-0.05,0.01,-0.12,44.54668001097276,0.9660915610461841,1.3726297358312993,
71767.6,4.5,-0.27,-0.93,0.20,0.01,0.08,0.07,45.47015724626428,0.981416141150692,1.3427423148587772,
71767.7,4.599999999991269,-0.26,-0.92,0.19,-0.03,-0.00,0.02,44.52685818694151,0.9781685265515314,1.3867229985583187,
71767.8,4.69999999999709,-0.27,-0.93,0.20,-0.03,0.04,-0.13,44.45028908792383,0.9945362328905298,1.3864022778488039,
71767.9,4.7999999999883585,-0.28,-0.93,0.20,-0.03,0.04,-0.13,44.04891599120232,0.9931911785697076,1.3466717540531263,
71768.1,5.0,-0.71,-1.10,0.54,0.35,-0.68,0.59,45.700919027958285,0.9888229352885575,1.4059401237947644,
71768.2,5.099999999991269,-0.28,-0.95,0.29,0.06,0.78,0.00,46.039557990927754,0.9783547881610216,1.356517070796441,
71768.3,5.19999999999709,-0.44,-0.95,0.27,2.81,-1.54,2.52,44.51278580363174,0.6484247296806437,1.6738705302268913,
71768.4,5.2999999999883585,-0.49,-0.94,0.28,2.73,-1.70,2.38,45.047631458268704,0.9804535845806052,1.339880786458624,
71768.5,5.399999999994179,-0.50,-0.94,0.32,0.13,1.09,0.08,44.81848948815656,0.09486511661746216,2.115934210952418,
71768.6,5.5,-0.54,-0.95,0.40,0.14,-0.09,0.27,44.17794585536996,0.9824053234740062,1.3245277748827817,
71768.7,5.599999999991269,-0.30,-0.95,0.28,0.25,-0.48,0.44,45.74861090787348,0.9759655389470261,1.3162453041268207,
71768.8,5.69999999999709,-0.31,-0.95,0.27,0.10,-0.57,0.10,42.83721512890398,5.748802193809772,2.4164648499966095,
71769.1,6.0,-0.06,0.27,0.88,-0.57,-2.42,0.16,43.24032377307089,5.804809838042046,2.4205998393680117,
71769.2,6.099999999991269,0.00,0.24,1.09,-0.21,-0.47,0.20,43.50582489736288,5.775584542658715,2.578978744139484,
71769.3,6.19999999999709,-0.06,0.27,0.90,0.24,-0.12,0.24,43.54688737441518,5.749546813608181,2.441004822037419,
71769.4,6.2999999999883585,-0.04,0.26,0.90,0.04,0.24,-0.20,44.24791407512901,5.7969896812328585,2.4101564490658847,
71769.5,6.399999999994179,0.09,0.29,1.02,0.02,0.21,-0.20,43.58901467113016,5.795933851739408,2.4427074146674355,
71769.6,6.5,0.00,0.28,0.88,-0.05,0.05,-0.15,43.833013813791084,5.617473025107956,2.5609818663629937,
71769.7,6.599999999991269,0.05,0.30,0.84,-0.18,-0.03,-0.39,44.14601454265153,5.7835654733937245,2.4181904733439805,
71769.8,6.69999999999709,0.03,0.22,0.46,-0.28,-0.54,0.05,44.57115771437848,5.7750861898420895,2.40044880218383,
71769.9,6.7999999999883585,-0.48,-0.08,0.78,-0.50,-2.10,0.28,45.14790249834426,5.790268436787982,2.4025685659951352,
71770.1,7.0,-0.10,0.16,0.70,-1.48,0.58,-0.68,44.92097060393954,5.956409669452132,2.3655596544197905,
71770.2,7.099999999991269,-0.12,0.11,0.70,-1.53,0.59,-0.71,44.6461879671714,5.973139052899395,2.371850904086095,
71770.3,7.19999999999709,-0.13,0.07,0.70,-1.58,0.60,-0.74,44.4787960718363,5.983899424832979,2.3757418606049505,
71770.4,7.2999999999883585,-0.16,-0.02,0.71,-1.63,0.61,-0.78,45.95326538995896,0.7653638528736104,1.6247904315833137,
71770.5,7.399999999994179,-0.08,0.19,0.68,-1.88,0.79,-1.23,44.627267449396896,6.115348322499079,2.3677892133931993,
71770.6,7.5,-0.24,-0.08,0.78,-1.66,0.62,-0.83,44.70275830415837,1.0067957355423303,1.3449579354962402,
71770.7,7.599999999991269,-0.28,-0.09,0.79,-1.98,0.92,-1.31,44.68594969338797,6.137266038988124,2.3658067720965095,
71770.8,7.69999999999709,-0.29,-0.10,0.78,-2.03,1.00,-1.35,44.8047062260205,1.079632728508636,1.2111192906869714,
71770.9,7.7999999999883585,-0.30,-0.11,0.76,0.02,-1.00,0.31,43.3525293379752,6.209072228922217,2.386511421037091,
71771.1,8.0,-0.34,-0.94,0.11,-0.07,-0.50,0.05,44.57265641623797,0.9835103355025111,1.2701415368499878,
71771.2,8.099999999991269,-0.34,-0.94,0.10,-0.09,-0.43,0.07,45.69984354458995,0.9506795618581995,1.280978364740901,
71771.3,8.19999999999709,-0.34,-0.93,0.10,-0.10,-0.41,0.08,43.921618822625376,0.9918447445819719,1.272457626040701,
71771.4,8.299999999988358,-0.33,-0.95,0.11,-0.11,-0.39,0.09,45.33179237577089,0.959674240647254,1.2801684183635504,
71771.5,8.39999999999418,-0.34,-0.93,0.10,-0.17,-0.34,0.14,44.618311263426364,0.9833143870466842,1.2699894921674968,
71771.6,8.5,-0.32,-0.94,0.11,-0.17,-0.33,0.13,44.95054170975028,0.9821472273456734,1.267622955597075,
71771.7,8.599999999991269,-0.32,-0.93,0.12,0.16,-0.88,0.46,44.178936157404245,0.956999787478844,1.2669027569691305,
71771.8,8.69999999999709,-0.32,-0.94,0.12,0.82,-0.94,1.50,45.694582829915404,0.9792264049614148,1.2623936381936016,
71771.9,8.799999999988358,-0.32,-0.94,0.13,-0.18,-0.33,0.12,43.870671296436754,0.9927729042379692,1.2751995538202205,
71772.1,9.0,-0.47,-0.26,0.60,2.23,-1.65,2.15,44.77207723570574,0.4085989334727302,1.8033886456821497,
71772.2,9.099999999991269,-0.63,-0.58,0.65,2.45,-2.29,2.57,44.90496965815699,0.3717380488578738,1.829086997714327,
71772.3,9.19999999999709,-0.59,-0.49,0.63,2.43,-1.87,2.38,45.38142902113154,0.3034910792069976,1.874924741813811,
71772.4,9.299999999988358,-0.57,-0.42,0.63,2.39,-1.80,2.34,43.614191497722395,5.76001701805707,2.272685428206645,
71772.5,9.39999999999418,-0.55,-0.40,0.62,2.35,-1.74,2.29,43.96759261092197,0.2666329692662468,1.9112155404714233,
71772.6,9.5,-0.64,-0.59,0.65,2.33,-1.72,2.27,43.30948164086013,5.605251462014904,2.365893179836071,
71772.7,9.599999999991269,-0.49,-0.33,0.59,2.26,-1.66,2.18,43.30280129506635,0.24695293516543654,1.9299461366785942,
71772.8,9.69999999999709,-0.47,-0.30,0.59,-0.04,0.06,-0.19,43.54880136123152,5.643676193148725,2.3797365885766375,
71772.9,9.799999999988358,-0.46,-0.28,0.60,-0.14,-0.19,-0.09,43.41411291273841,0.1762346977366758,1.967641106518408,
71773.1,10.0,-0.05,0.28,0.98,0.09,-0.14,-0.01,43.282815296604724,5.70735013791376,2.415994917420267,
71773.2,10.099999999991269,-0.03,0.30,0.94,0.02,-0.01,-0.05,43.47467423684736,5.736576883309438,2.4169129193380656,
71773.3,10.19999999999709,-0.01,0.33,0.94,0.10,0.10,-0.00,43.30244681308436,5.660432279736131,2.442685334313108,
71773.4,10.299999999988358,-0.01,0.34,0.92,0.13,0.05,0.05,43.86286470352797,5.6839612295268,2.4217187589225624,
71773.5,10.39999999999418,-0.04,0.28,0.97,0.12,-0.04,0.01,43.45345786010591,5.65516132077794,2.4244396585962793,
71773.6,10.5,-0.01,0.33,0.93,0.11,-0.08,0.00,44.53040871135139,5.686020151404625,2.439547704295892,
71773.7,10.599999999991269,-0.01,0.32,0.92,0.10,-0.12,-0.01,43.92057148990664,5.677901887962804,2.4188436517965943,
71773.8,10.69999999999709,-0.00,0.31,0.90,-0.14,0.19,0.19,43.303637260627426,5.6456365090408935,2.4213852593209864,
71773.9,10.799999999988358,-0.00,0.30,0.90,-0.48,0.35,0.16,42.82572474576467,5.652768610134774,2.4108004797535427,
71774.1,11.0,-0.07,0.13,0.76,-0.95,0.42,-0.11,43.461143565258375,5.784036526906214,2.4348011686960978,
71774.2,11.099999999991269,-0.06,0.12,0.76,-1.03,0.44,-0.15,43.58672963185011,5.7891963282809895,2.4303787104753036,
71774.3,11.19999999999709,-0.04,0.13,0.78,-1.22,0.50,-0.24,42.33522174265773,0.1393388500647196,2.262085102038617,
71774.4,11.299999999988358,-0.04,0.14,0.80,-1.27,0.54,-0.30,44.65101230655359,5.81509657267711,2.3984967337732614,
71774.5,11.39999999999418,-0.05,0.14,0.80,-1.30,0.61,-0.38,44.2548889954545,5.829178857716687,2.40626795794274,
71774.6,11.5,-0.06,0.13,0.81,-1.34,0.67,-0.45,46.19497483493199,0.6309697729039923,1.7648908320859253,
71774.7,11.599999999991269,-0.07,0.11,0.81,-1.37,0.73,-0.52,43.49277181325651,5.8595039091626875,2.4223561011523476,
71774.8,11.69999999999709,-0.46,-0.92,0.27,-0.29,1.80,-0.91,44.038841946627066,0.9048270894157868,1.4061066829554043,
71774.9,11.799999999988358,-0.09,0.07,0.83,-0.23,0.86,-0.70,43.58287048830079,5.874863394854912,2.4224333509220894,
71775.1,12.0,-0.38,-0.92,0.14,-0.06,0.58,-0.08,44.46786142822702,1.029570310044615,1.274352412746831,
71775.2,12.099999999991269,-0.37,-0.92,0.14,-0.00,-0.08,-0.01,43.5548367004171,1.05251480001406,1.2703477046784069,
71775.3,12.19999999999709,-0.33,-0.94,0.08,-0.04,-0.27,0.03,43.427853964938215,1.0912770348023004,1.2447487533722084,
71775.4,12.299999999988358,-0.31,-0.94,0.11,-0.04,-0.35,0.07,44.761270089218876,1.0484358137964207,1.2761205160515334,
71775.5,12.39999999999418,-0.37,-0.92,0.14,-0.01,-0.18,0.05,42.58899036135982,1.025971191826409,1.2268803379225086,
71775.6,12.5,-0.38,-0.92,0.14,0.00,-0.17,0.04,45.422545062997074,1.0464612302106178,1.2791573098543538,
71775.7,12.599999999991269,-0.33,-0.94,0.21,-0.27,0.07,-0.08,44.12042610854977,1.0204940977118095,1.2344865237494558,
71775.8,12.69999999999709,-0.33,-0.94,0.21,-0.17,0.30,-0.08,45.080401506641444,1.003799848698689,1.2692209427426164,
71775.9,12.799999999988358,-0.33,-0.94,0.18,-0.09,0.51,-0.08,44.00289195041616,1.017972566961104,1.2304201677476305,
71776.1,13.0,-0.32,-0.93,0.12,-0.01,-0.04,-0.01,45.05388884436059,1.0385288198523297,1.2615904652446177,
71776.2,13.099999999991269,-0.32,-0.93,0.12,-0.01,-0.10,0.01,44.85939589428284,1.0379937414357505,1.2651178189234784,
71776.3,13.19999999999709,-0.32,-0.94,0.13,-0.00,-0.02,-0.00,46.07102668706223,1.0110198913761825,1.279076924865578,
71776.4,13.299999999988358,-0.32,-0.94,0.13,-0.00,-0.02,-0.00,45.51025049370746,1.0056609985912484,1.294841159675883,
71776.5,13.39999999999418,-0.32,-0.94,0.13,-0.00,-0.02,-0.01,44.16883063881134,1.0211908398906848,1.2706252628008496,
71776.6,13.5,-0.32,-0.93,0.12,-0.01,-0.04,-0.01,44.122182629602534,1.004999075450775,1.257220959632324,
71776.7,13.599999999991269,-0.33,-0.93,0.12,-0.01,-0.04,-0.01,43.87740306809417,1.0332017934209277,1.2685687938050174,
71776.8,13.69999999999709,-0.32,-0.93,0.12,-0.01,0.01,-0.02,43.503455035203814,0.9843187187499356,1.292528182036491,
71776.9,13.799999999988358,-0.33,-0.93,0.13,-0.01,0.01,-0.02,44.3622429550175,1.0210728878736655,1.2719744555126586,
71777.1,14.0,-0.31,-0.93,0.13,-0.03,-0.01,-0.00,44.71238530877099,1.0040491903723294,1.2774245065060197,
71777.2,14.099999999991269,-0.31,-0.92,0.12,-0.03,-0.00,-0.00,44.71754018279628,0.999655531420661,1.2744210730890209,
71777.3,14.19999999999709,-0.31,-0.93,0.13,0.66,-1.04,0.96,43.976823441444694,0.9701650085436286,1.320562575684204,
71777.4,14.299999999988358,-0.31,-0.92,0.14,1.72,-1.41,2.09,44.65350154243226,0.9919772705245657,1.288471096568199,
71777.5,14.39999999999418,-0.31,-0.93,0.12,-0.03,-0.00,-0.00,44.612629377789425,0.981313005859146,1.3079896235808524,
71777.6,14.5,-0.31,-0.92,0.13,-0.02,0.01,-0.00,45.3532457493397,0.2973941122594292,1.9216994856383192,
71777.7,14.599999999991269,-0.31,-0.93,0.14,-0.02,-0.01,-0.00,45.08994233751026,0.9985173058809064,1.2956588849090638,
71777.8,14.69999999999709,-0.31,-0.93,0.14,-0.01,0.04,-0.00,45.339559989042684,1.0069897390709501,1.2898746308857585,
71777.9,14.799999999988358,-0.31,-0.93,0.14,0.26,-0.92,0.77,44.55590421032885,5.72892482665773,2.257846502599004,
71778.1,15.0,0.01,0.28,0.81,-0.12,-0.60,0.18,44.803104803127205,5.626892632666735,2.324171397627949,
71778.2,15.099999999991269,0.05,0.32,0.78,-0.12,-0.42,0.08,43.928051402264586,5.606979317866913,2.394547401230109,
71778.3,15.19999999999709,-0.02,0.27,0.83,-0.00,0.05,-0.07,43.9570938529835,5.6092416142763835,2.3477889443845905,
71778.4,15.299999999988358,-0.04,0.27,0.85,0.04,0.01,-0.08,43.6442184028996,5.60944271734236,2.342320516966164,
71778.5,15.39999999999418,-0.05,0.27,0.85,-0.11,-0.34,0.06,43.90866543178009,5.611688190288624,2.348234775561349,
71778.6,15.5,-0.06,0.28,0.85,-0.12,-0.29,0.04,43.27822778256984,5.617325576835865,2.35057901073099,
71778.7,15.599999999991269,0.04,0.31,0.80,-0.13,-0.29,0.03,43.591914387877026,5.568443260731189,2.448711322598064,
71778.8,15.69999999999709,0.02,0.30,0.80,-0.13,-0.56,0.15,42.79289777521499,5.610848731907523,2.410256031981772,
71778.9,15.799999999988358,-0.03,0.28,0.89,-0.13,-0.52,0.12,43.25027167544731,5.615972198341309,2.3521949521952883,
71779.1,16.0,-0.02,0.31,0.81,-0.19,0.07,0.05,42.760039756763554,5.6899419456128175,2.3409015354944946,
71779.2,16.09999999999127,-0.02,0.31,0.81,-0.17,0.09,0.05,44.50585242414755,5.796204873582056,2.3388548099757642,
71779.3,16.19999999999709,-0.00,0.30,0.80,-1.47,0.90,-1.07,42.97436212441088,5.612921946972799,2.3575952965967373,
71779.4,16.29999999998836,-0.00,0.29,0.78,-1.63,1.29,-1.49,44.03770316444762,6.2529274822902625,2.2696132745390303,
71779.5,16.39999999999418,0.01,0.28,0.77,-0.24,0.07,0.04,42.948160612533805,5.618481279559644,2.362174564392244,
71779.6,16.5,-0.00,0.27,0.77,-0.41,0.36,-0.01,44.18387941319775,0.4612495320629766,1.9510716077207688,
71779.7,16.59999999999127,-0.01,0.27,0.77,-0.46,0.54,-0.02,43.048779309058226,5.641999166675521,2.3906282905129754,
71779.8,16.69999999999709,-0.04,0.30,0.80,-0.50,0.64,-0.04,44.63697234356291,0.7716048412928485,1.530908493851692,
71779.9,16.79999999998836,-0.03,0.31,0.81,-0.52,0.69,-0.05,45.00927682156202,0.9856132646478761,1.3887181540930271,
71780.1,17.0,-0.48,-0.91,0.19,-0.27,0.80,-0.62,45.9049213048013,1.113602884909738,1.2563026456019186,
71780.2,17.09999999999127,-0.47,-0.91,0.19,-0.29,0.76,-0.57,45.6076890447214,1.0280828066750338,1.3136279447061754,
71780.3,17.19999999999709,-0.47,-0.92,0.19,-0.32,0.63,-0.48,44.9170914018261,1.0757242695792468,1.2876233427009716,
71780.4,17.29999999998836,-0.47,-0.92,0.18,-0.32,0.55,-0.45,45.11822137451785,1.0876203542620788,1.2847643530341193,
71780.5,17.39999999999418,-0.47,-0.92,0.17,0.01,-0.46,0.03,44.02496564450676,1.059432156623865,1.2264985439419762,
71780.6,17.5,-0.47,-0.94,0.14,-0.01,-0.40,0.12,45.669108815478324,1.1011326794329026,1.2883100752993673,
71780.7,17.59999999999127,-0.31,-0.93,0.10,-0.04,-0.11,0.09,45.04668356272191,1.0425219783212245,1.2842972716875454,
71780.8,17.69999999999709,-0.46,-0.94,0.14,-0.32,0.47,-0.43,45.835978226716186,1.1049143115999203,1.2893665840494806,
71780.9,17.79999999998836,-0.48,-0.91,0.19,-0.36,0.22,-0.35,43.54405355499186,1.0198015243053047,1.276996011250784,
71781.1,18.0,-0.32,-0.93,0.12,0.02,-0.01,-0.01,45.53737805363853,1.0215498174513646,1.2721112492951592,
71781.2,18.09999999999127,-0.32,-0.93,0.13,-0.00,-0.05,0.01,44.425714400558604,1.023449275029672,1.2815862585888032,
71781.3,18.19999999999709,-0.32,-0.93,0.12,-0.02,-0.01,0.01,44.33343997480908,1.024946502207248,1.2682318106325976,
71781.4,18.29999999998836,-0.32,-0.93,0.14,0.04,0.04,0.00,45.834124841650464,1.0279092431107515,1.270680081224353,
71781.5,18.39999999999418,-0.32,-0.93,0.12,0.04,0.05,0.00,44.27884144825833,1.0129468425987642,1.27918465223228,
71781.6,18.5,-0.32,-0.93,0.12,0.04,0.04,0.00,45.15585676299366,1.0015992842089472,1.2999802066909045,
71781.7,18.59999999999127,-0.32,-0.93,0.12,0.03,0.01,-0.01,44.05015096455403,0.9992433173364677,1.2509566633164937,
71781.8,18.69999999999709,-0.32,-0.93,0.12,0.03,0.00,-0.01,45.14294297008116,1.0048789979701236,1.2964505827757111,
71781.9,18.79999999998836,-0.32,-0.93,0.12,-0.02,0.01,-0.00,45.0946659816879,1.0198993563100056,1.2809101847471382,
71782.1,19.0,-0.31,-0.93,0.13,-0.00,0.01,-0.01,44.40018693654341,1.0197773778128003,1.2568836306538924,
71782.2,19.09999999999127,-0.31,-0.93,0.12,-0.01,-0.01,0.01,45.41794469149831,1.025141272267905,1.2370088509192299,
71782.3,19.19999999999709,-0.31,-0.93,0.12,-0.01,-0.01,0.01,44.32362913841781,1.0197773778128003,1.2622483608344153,
71782.4,19.29999999998836,-0.32,-0.93,0.12,-0.01,-0.01,0.01,44.107430213060475,1.0197773778128003,1.2780179251724402,
71782.5,19.39999999999418,-0.31,-0.93,0.12,-0.01,-0.01,0.01,44.09961110939642,1.0086738612199269,1.2701393923860853,
71782.6,19.5,-0.31,-0.93,0.12,0.01,-0.06,0.02,44.471088360866545,1.010549854289658,1.2699042438891657,
71782.7,19.59999999999127,-0.31,-0.93,0.12,0.04,-0.05,-0.00,45.96759075696702,1.034584595941489,1.249188596836232,
71782.8,19.69999999999709,-0.31,-0.93,0.12,0.00,0.01,-0.01,44.640574593076195,1.006372414603333,1.2661546858453272,
71782.9,19.79999999998836,-0.32,-0.93,0.12,-0.01,-0.02,0.01,44.28631955807572,1.003173487055629,1.2520091537331317,
71783.1,20.0,-0.82,-0.68,0.70,2.71,-2.74,2.88,44.05435392784691,0.4667547973440214,1.7705126366726098,
71783.2,20.09999999999127,-0.75,-0.62,0.62,2.90,-2.25,3.03,43.05337152883616,6.078301343660645,2.188642667362245,
71783.3,20.19999999999709,-0.72,-0.60,0.60,2.76,-2.64,2.90,44.30645212607301,0.4321799925540746,1.820992197179612,
71783.4,20.29999999998836,-0.65,-0.55,0.60,2.86,-2.21,2.98,43.816245845576496,5.702059934808706,2.32746554857021,
71783.5,20.39999999999418,-0.62,-0.53,0.60,2.85,-2.21,2.95,43.50843711281755,0.35806345680997603,1.885321827244432,
71783.6,20.5,-0.82,-0.70,0.73,2.83,-2.21,2.86,43.57231230953896,5.642941515856307,2.3597620919492566,
71783.7,20.59999999999127,-0.54,-0.39,0.62,2.83,-2.20,2.75,43.535532614176205,5.633556178099964,2.370121372350508,
71783.8,20.69999999999709,-0.54,-0.37,0.61,0.20,0.12,-0.14,43.96318573533997,0.4999709298643106,1.7205714288355434,
71783.9,20.79999999998836,-0.82,-0.70,0.72,2.80,-2.54,2.92,43.11259792682413,5.6475149976096555,2.3839671260909774,
71784.1,21.0,-0.05,0.34,0.93,0.06,-0.38,-0.09,43.67377931894606,5.612921946972799,2.373440552606706,
71784.2,21.09999999999127,-0.05,0.34,0.89,0.08,-0.27,-0.10,43.574111580157314,5.625691422588694,2.4084900438072,
71784.3,21.19999999999709,-0.05,0.35,0.87,0.12,-0.08,-0.12,44.13386114991527,5.606345291632573,2.4015432971479127,
71784.4,21.29999999998836,-0.05,0.36,0.86,0.14,0.00,-0.12,44.66511950056778,5.644976904505538,2.3981530349072844,
71784.5,21.39999999999418,-0.05,0.35,0.94,0.02,0.02,-0.07,44.248881341792135,5.595095704435932,2.3652263805752702,
71784.6,21.5,-0.03,0.38,0.85,0.18,0.15,-0.11,44.07435648991372,5.607757842038963,2.406061166774485,
71784.7,21.59999999999127,-0.03,0.38,0.85,0.20,0.23,-0.10,43.221007623608216,5.694508524787806,2.412384443121306,
71784.8,21.69999999999709,-0.01,0.38,0.88,-1.44,0.66,-0.60,44.384840880643026,5.565336029913555,2.3779456360263005,
71784.9,21.79999999998836,0.00,0.37,0.93,-1.80,1.25,-1.43,44.29051704371942,6.2236242432485,2.3313357542192295,
71785.1,22.0,-0.32,-0.28,0.89,-1.57,1.69,-1.96,44.712667108997195,0.2159297108766157,2.1738705664505273,
71785.2,22.09999999999127,-0.33,-0.29,0.88,-1.69,1.56,-2.00,44.258184553820094,0.25368377115484814,2.149323669185533,
71785.3,22.19999999999709,-0.34,-0.30,0.88,-1.64,1.67,-2.04,43.5202803299795,0.33131562599726266,2.094391383473783,
71785.4,22.29999999998836,-0.34,-0.31,0.87,-1.60,1.73,-2.05,45.08637266403231,0.9848721985562243,1.3544126743536458,
71785.5,22.39999999999418,-0.34,-0.33,0.87,-1.60,1.75,-2.05,43.78282425792105,0.39493147901869863,2.073645691340918,
71785.6,22.5,-0.36,-0.34,0.85,-1.60,1.75,-2.05,44.752093805765114,1.1773329792095883,1.165873261830414,
71785.7,22.59999999999127,-0.36,-0.35,0.85,-1.59,1.73,-2.03,45.46268579835555,1.1312797832177173,1.204333010770574,
71785.8,22.69999999999709,-0.37,-0.37,0.84,-1.58,1.71,-2.00,44.07636781768661,0.4319959139793283,2.0553149935639485,
71785.9,22.79999999998836,-0.54,-0.75,0.77,-0.06,-0.30,0.15,45.01067984378818,0.4848304180497821,1.9982646673464146,
71786.1,23.0,-0.33,-0.92,0.15,-0.16,-0.62,0.17,44.79754792396566,1.0478952498313,1.3090999757616524,
71786.2,23.09999999999127,-0.33,-0.92,0.15,-0.05,-0.27,0.11,44.22834950571861,0.9437256642058782,1.2990854906595548,
71786.3,23.19999999999709,-0.33,-0.93,0.15,0.04,0.04,-0.08,45.684699845790824,1.0162943555395383,1.2765366207157396,
