Clock Time (s),Elapsed Time (s),ax,ay,az,gx,gy,gz,mr,mtheta,mphi,
52060.4,0.0,0.08,-0.01,0.91,0.16,-0.05,0.06,15.482832428208994,6.088233643819452,0.6066630101124972,
52060.5,0.09999999999854481,0.07,-0.02,0.89,-0.24,0.20,-0.18,15.245658398376897,5.931656323918783,0.5094037375776553,
52060.6,0.19999999999708962,0.11,-0.01,0.94,0.05,-0.02,-0.06,16.948560410843157,6.08394132059938,0.5245283569399729,
52060.7,0.2999999999956344,0.11,-0.02,0.89,0.02,0.09,-0.06,14.725413406760437,6.036632338048545,0.5504904017802157,
52060.8,0.4000000000014552,0.13,-0.04,0.83,0.20,0.27,-0.29,16.526769194249674,6.0475960394791235,0.560272150192394,
52060.9,0.5,0.10,-0.09,0.87,-0.06,0.27,-0.61,16.79681219755701,6.045910651880222,0.5971479816699553,
52061.0,0.5999999999985448,0.06,-0.04,0.83,-0.27,0.21,-0.68,16.565198459420884,6.131979534705862,0.4971378867554176,
52061.1,0.6999999999970896,-0.06,-0.14,0.91,-0.50,0.27,-0.78,15.497209426216063,0.16646372456188435,0.6000455817646375,
52061.2,0.7999999999956344,-0.09,-0.07,0.96,-0.33,0.28,-1.02,16.46623818605816,0.5181137233370141,0.6232865764547834,
52061.3,0.9000000000014552,-0.13,0.00,0.91,-0.34,0.50,-0.99,16.113848081696688,0.7853981633974483,0.5921884621935207,
52061.4,1.0,-0.18,-0.13,0.95,-0.31,0.60,-0.89,16.57071211505408,0.8762831744124902,0.7565818451617163,
52061.5,1.0999999999985448,-0.20,-0.35,1.38,-1.18,-0.78,-0.91,18.538646121008945,1.0369412836529313,0.8019531457337323,
52061.6,1.1999999999970896,0.13,-0.26,0.95,-0.28,0.33,-0.22,21.944320449720013,1.3408434678222705,0.8942162409192703,
52061.7,1.2999999999956344,-0.18,-0.22,0.49,-0.08,0.40,0.03,23.418494827806505,1.3598969047583953,0.8772888999666683,
52061.8,1.4000000000014552,-0.11,-0.23,1.23,-0.78,0.01,-0.49,25.928229789169947,1.3098989788079527,0.8603332223817629,
52061.9,1.5,-0.20,-0.19,0.69,-0.01,-0.38,0.01,25.50531121158885,1.3431070070262408,0.9141537201393313,
52062.0,1.5999999999985448,-0.03,-0.34,0.68,-0.10,-1.19,0.11,23.706596128503982,1.4232944733375537,0.8731219236937698,
52062.1,1.6999999999970896,0.03,-0.31,1.42,0.63,0.36,-0.04,24.356996941330845,1.5939104891261135,0.8692498058780974,
52062.2,1.7999999999956344,0.01,-0.34,0.87,-0.09,-0.01,-0.16,23.734116794184697,1.4264798001236707,0.9076878389628188,
52062.3,1.9000000000014552,-0.19,-0.36,0.75,-0.07,0.08,0.14,24.076773039591497,1.4605055849595905,0.8494616502563707,
52062.4,2.0,-0.07,-0.30,0.90,0.10,-0.23,0.21,23.34710474555678,1.4080609446595005,0.9072403103383602,
52062.5,2.099999999998545,-0.04,-0.20,0.98,-0.07,0.23,0.00,23.456233713023924,1.4312596139915073,0.873075073371755,
52062.6,2.1999999999970896,-0.14,-0.27,0.79,-0.10,-0.19,0.07,24.878603256613903,1.3710885161146025,0.9012713048784062,
52062.7,2.2999999999956344,-0.08,-0.33,0.84,-0.02,-0.01,0.04,24.17134460471738,1.3317316438719158,0.8687178177712066,
52062.8,2.400000000001455,-0.12,-0.30,0.90,0.10,0.18,-0.09,25.483267058993828,1.3679910003864932,0.8540943164208841,
52062.9,2.5,-0.11,-0.24,0.89,0.07,-0.00,-0.06,24.40324978358415,1.3726878635114557,0.9093453709867679,
52063.0,2.599999999998545,-0.12,-0.27,0.88,0.00,0.13,0.01,24.156763028187367,1.3727751153061087,0.892371380737192,
52063.1,2.6999999999970896,-0.11,-0.29,0.89,0.01,-0.16,0.13,24.39417553433606,1.3215907130517215,0.8886269789359962,
52063.2,2.7999999999956344,-0.10,-0.27,0.89,-0.01,-0.00,0.03,23.301592220275417,1.3259509792251682,0.8958569273042732,
52063.3,2.900000000001455,-0.09,-0.27,0.88,-0.01,0.00,-0.01,23.93557603234148,1.3124554300440359,0.8843600719878904,
52063.4,3.0,-0.12,-0.27,0.87,0.00,0.09,-0.01,22.96888547579094,1.2736121567667773,0.8931834431680601,
