Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,aclx 15,aclx 16,aclx 17,aclx 18,aclx 19,aclx 20,aclx 21,aclx 22,aclx 23,aclx 24,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,acly 15,acly 16,acly 17,acly 18,acly 19,acly 20,acly 21,acly 22,acly 23,acly 24,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,aclz 15,aclz 16,aclz 17,aclz 18,aclz 19,aclz 20,aclz 21,aclz 22,aclz 23,aclz 24,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyrx 15,gyrx 16,gyrx 17,gyrx 18,gyrx 19,gyrx 20,gyrx 21,gyrx 22,gyrx 23,gyrx 24,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyry 15,gyry 16,gyry 17,gyry 18,gyry 19,gyry 20,gyry 21,gyry 22,gyry 23,gyry 24,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,gyrz 15,gyrz 16,gyrz 17,gyrz 18,gyrz 19,gyrz 20,gyrz 21,gyrz 22,gyrz 23,gyrz 24,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magr 15,magr 16,magr 17,magr 18,magr 19,magr 20,magr 21,magr 22,magr 23,magr 24,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magphi 15,magphi 16,magphi 17,magphi 18,magphi 19,magphi 20,magphi 21,magphi 22,magphi 23,magphi 24,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,magtheta 15,magtheta 16,magtheta 17,magtheta 18,magtheta 19,magtheta 20,magtheta 21,magtheta 22,magtheta 23,magtheta 24,
0.080000,0.001750,,,,,,,,,,,,,,,,,,,,,,,,-0.012306,,,,,,,,,,,,,,,,,,,,,,,,0.010346,,,,,,,,,,,,,,,,,,,,,,,,-0.029469,,,,,,,,,,,,,,,,,,,,,,,,0.011474,,,,,,,,,,,,,,,,,,,,,,,,-0.072492,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.017865,,,,,,,,,,,,,,,,,,,,,,,,0.003641,,,,,,,,,,,,,,,,,,,,,,,,
0.088000,0.002207,,,,,,,,,,,,,,,,,,,,,,,,-0.017177,,,,,,,,,,,,,,,,,,,,,,,,0.023815,,,,,,,,,,,,,,,,,,,,,,,,-0.034025,,,,,,,,,,,,,,,,,,,,,,,,0.010134,,,,,,,,,,,,,,,,,,,,,,,,-0.070053,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.023867,,,,,,,,,,,,,,,,,,,,,,,,0.005740,,,,,,,,,,,,,,,,,,,,,,,,
0.096000,0.003493,,,,,,,,,,,,,,,,,,,,,,,,-0.020711,,,,,,,,,,,,,,,,,,,,,,,,0.023165,,,,,,,,,,,,,,,,,,,,,,,,-0.029648,,,,,,,,,,,,,,,,,,,,,,,,0.005782,,,,,,,,,,,,,,,,,,,,,,,,-0.059916,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.029072,,,,,,,,,,,,,,,,,,,,,,,,0.007341,,,,,,,,,,,,,,,,,,,,,,,,
0.104000,0.006217,,,,,,,,,,,,,,,,,,,,,,,,-0.024397,,,,,,,,,,,,,,,,,,,,,,,,0.020286,,,,,,,,,,,,,,,,,,,,,,,,-0.027594,,,,,,,,,,,,,,,,,,,,,,,,-0.004062,,,,,,,,,,,,,,,,,,,,,,,,-0.045415,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.033152,,,,,,,,,,,,,,,,,,,,,,,,0.008212,,,,,,,,,,,,,,,,,,,,,,,,
0.112000,0.009709,,,,,,,,,,,,,,,,,,,,,,,,-0.027809,,,,,,,,,,,,,,,,,,,,,,,,0.035466,,,,,,,,,,,,,,,,,,,,,,,,-0.018929,,,,,,,,,,,,,,,,,,,,,,,,-0.004999,,,,,,,,,,,,,,,,,,,,,,,,-0.033224,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.036992,,,,,,,,,,,,,,,,,,,,,,,,0.009078,,,,,,,,,,,,,,,,,,,,,,,,
0.120000,0.012898,,,,,,,,,,,,,,,,,,,,,,,,-0.030138,,,,,,,,,,,,,,,,,,,,,,,,0.035934,,,,,,,,,,,,,,,,,,,,,,,,-0.016964,,,,,,,,,,,,,,,,,,,,,,,,-0.009084,,,,,,,,,,,,,,,,,,,,,,,,-0.023856,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.039581,,,,,,,,,,,,,,,,,,,,,,,,0.009462,,,,,,,,,,,,,,,,,,,,,,,,
0.128000,0.014669,,,,,,,,,,,,,,,,,,,,,,,,-0.030797,,,,,,,,,,,,,,,,,,,,,,,,0.022520,,,,,,,,,,,,,,,,,,,,,,,,-0.007049,,,,,,,,,,,,,,,,,,,,,,,,-0.003325,,,,,,,,,,,,,,,,,,,,,,,,-0.010382,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.041343,,,,,,,,,,,,,,,,,,,,,,,,0.008874,,,,,,,,,,,,,,,,,,,,,,,,
0.136000,0.013656,,,,,,,,,,,,,,,,,,,,,,,,-0.031096,,,,,,,,,,,,,,,,,,,,,,,,0.021608,,,,,,,,,,,,,,,,,,,,,,,,-0.003655,,,,,,,,,,,,,,,,,,,,,,,,-0.007075,,,,,,,,,,,,,,,,,,,,,,,,-0.004864,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.041649,,,,,,,,,,,,,,,,,,,,,,,,0.008831,,,,,,,,,,,,,,,,,,,,,,,,
0.144000,0.014907,,,,,,,,,,,,,,,,,,,,,,,,-0.031020,,,,,,,,,,,,,,,,,,,,,,,,0.032564,,,,,,,,,,,,,,,,,,,,,,,,-0.003566,,,,,,,,,,,,,,,,,,,,,,,,-0.008214,,,,,,,,,,,,,,,,,,,,,,,,-0.005249,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.041907,,,,,,,,,,,,,,,,,,,,,,,,0.008567,,,,,,,,,,,,,,,,,,,,,,,,
0.152000,0.014943,,,,,,,,,,,,,,,,,,,,,,,,-0.031408,,,,,,,,,,,,,,,,,,,,,,,,0.023312,,,,,,,,,,,,,,,,,,,,,,,,0.002508,,,,,,,,,,,,,,,,,,,,,,,,-0.009553,,,,,,,,,,,,,,,,,,,,,,,,0.001937,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,0.042281,,,,,,,,,,,,,,,,,,,,,,,,0.008864,,,,,,,,,,,,,,,,,,,,,,,,
